gene_symbol,log2fc,p_value,direction
FKBP4,3.502673238,4.35E-20,up
SOAT1,3.501112545,9.87E-18,up
MEOX2,-3.49215672,1.90E-12,down
DNAJC3,3.490783545,1.12E-25,up
MKI67,3.489456126,4.10E-08,up
FN1,3.489240266,2.33E-25,up
PIGX,3.488429622,5.87E-21,up
SLC16A7,-3.48590693,5.86E-26,down
SERPINE1,3.483930713,3.92E-10,up
PEAR1,-3.481574664,1.50E-39,down
H2AFY,3.480354944,2.49E-19,up
KIF23,3.479087455,2.11E-10,up
CXCL14,-3.474005301,7.21E-05,down
AGTRAP,3.473787497,1.96E-26,up
ARIH1,3.470479413,3.90E-27,up
SRD5A3,3.470137021,9.81E-13,up
,-3.46980607,6.20E-10,down
RAD1,3.467165678,1.73E-25,up
LAMB3,-3.464693056,1.30E-10,down
SMARCC1,3.458801378,4.57E-27,up
FEN1,3.45853735,2.52E-13,up
COL5A2,3.458301035,1.38E-12,up
ANKRD22,3.458238385,1.00E-08,up
PCK1,-3.456896909,9.06E-24,down
CBX2,3.453030399,6.47E-06,up
CR936796,-3.452246944,9.07E-12,down
KIF20A,3.445269245,7.13E-09,up
ANGPTL4,-3.444922245,1.20E-13,down
CTNNA1,3.443103888,1.47E-13,up
RBM6,3.442772979,5.33E-16,up
CCNE2,3.441791322,5.59E-10,up
DNAJC10,3.441155392,6.81E-27,up
DICER1,3.438658664,6.00E-19,up
KIAA1033,3.436449559,3.38E-23,up
PTTG1,3.436360224,1.64E-11,up
DLGAP5,3.422122315,4.16E-07,up
IL17RD,-3.421799175,1.03E-06,down
DCLK1,-3.418995175,1.12E-07,down
ACSM5,-3.418955755,3.29E-26,down
VDAC1,3.418259594,1.24E-28,up
,-3.41729435,2.23E-24,down
MCL1,3.416548413,9.75E-28,up
RUNX1T1,-3.416189888,9.78E-09,down
AURKAPS1,3.415420035,1.97E-31,up
CCNA2,3.404459203,4.17E-10,up
ANKRD35,-3.404156448,2.73E-12,down
OAS2,3.403633755,1.68E-07,up
PAK2,3.402150287,3.47E-21,up
ACP1,3.400552385,8.87E-22,up
DGAT2,-3.400195524,2.74E-08,down
,-3.396314685,8.73E-13,down
CREB1,3.396015224,1.93E-14,up
PPP2R5C,3.395779552,2.35E-31,up
DCAF10,3.394466993,7.00E-21,up
B3GNT2,3.394256664,2.06E-23,up
C16orf89,-3.394121734,8.69E-11,down
SLC38A1,3.386641371,2.77E-14,up
ZNF207,3.382521308,3.52E-30,up
METTL2A,3.381591916,7.17E-26,up
,3.380478587,8.51E-08,up
SLC4A4,-3.379991909,1.13E-31,down
PDGFD,-3.374508867,8.61E-07,down
RNF213,3.374407196,6.28E-18,up
GNAL,-3.373875497,3.10E-20,down
MAN2A1,3.371984818,3.05E-21,up
SULF2,3.371970287,4.32E-12,up
EFEMP1,-3.371529888,2.67E-07,down
PTPN12,3.370205545,2.47E-15,up
PDAP1,3.370113937,2.69E-21,up
PGRMC1,3.368768895,1.09E-19,up
CPD,3.367584811,5.04E-11,up
WAPAL,3.364734252,1.45E-28,up
NDC1,3.364705287,7.38E-14,up
PID1,-3.35836658,2.27E-18,down
ITM2A,-3.357348189,5.94E-10,down
USP38,3.355266441,5.42E-25,up
PRKAR1A,3.353870322,2.22E-19,up
,3.349653014,8.59E-24,up
SECISBP2,3.347561741,1.73E-25,up
DNAJB1,3.345263545,4.37E-28,up
DHX15,3.34378535,1.14E-27,up
PGM5,-3.340644476,8.50E-27,down
,3.340149566,2.27E-18,up
,-3.33925851,3.44E-12,down
DAAM1,3.334329105,3.00E-06,up
CLU,-3.333188678,2.05E-10,down
HSPB2,-3.328178923,1.25E-36,down
ASAP1,3.327793322,2.71E-22,up
DUSP5,3.327308266,3.72E-08,up
MED23,3.326078441,5.80E-23,up
MMRN2,-3.325175385,2.17E-23,down
WSB1,3.32508828,4.04E-10,up
ARFGEF2,3.324120671,1.66E-27,up
GNB1,3.321248315,1.18E-31,up
RAB5C,3.320877657,9.47E-26,up
HOMER3,3.320810916,2.41E-16,up
ZNF12,3.319703077,1.06E-23,up
SEC24A,3.319674517,7.98E-26,up
GPC3,-3.31912586,1.02E-11,down
DDX3X,3.318134105,9.18E-26,up
BUB1,3.316153364,2.40E-07,up
7-Mar,3.315532483,6.22E-27,up
NDC80,3.314189448,1.53E-08,up
LINC00086,-3.31149814,1.62E-13,down
,-3.310800769,6.43E-20,down
MCM4,3.308838909,6.05E-15,up
,3.307960909,8.01E-16,up
C16orf72,3.30624193,6.04E-33,up
ANAPC5,3.305851517,9.83E-17,up
ERO1L,3.304934497,4.30E-13,up
KIF2A,3.304002818,1.23E-27,up
HDGFRP3,3.303586336,2.47E-10,up
PARP9,3.303575762,1.96E-18,up
ARL8B,3.301464273,2.45E-35,up
,-3.300764979,8.41E-26,down
LMF1,-3.300393238,2.15E-10,down
FIGN,-3.299832839,2.09E-20,down
,3.29804693,1.91E-18,up
CLDND1,3.297967804,5.44E-20,up
SOX11,3.29699614,0.000438305,up
KIF26B,3.295052734,1.84E-09,up
ABHD12,3.294839797,2.41E-27,up
VAV3,3.293136832,5.44E-07,up
ADH1C,-3.290962357,2.71E-33,down
ATP6AP2,3.289240622,2.59E-25,up
FAM60A,3.288894196,3.03E-12,up
PDE2A,-3.288051441,2.80E-35,down
IGF2R,3.285452133,1.62E-25,up
RHOB,3.284510664,1.03E-09,up
FOXA1,3.283729664,0.002752958,up
SIAH2,3.282330692,1.43E-16,up
AX747132,-3.281773797,1.65E-27,down
KIF14,3.281670098,2.40E-07,up
CLPTM1,3.279559238,5.00E-25,up
KPNA1,3.278115448,9.64E-19,up
HIST1H2BE,3.276675483,1.71E-14,up
ALDH18A1,3.272028783,3.92E-32,up
CIDEA,-3.268248126,1.73E-16,down
LAMA3,-3.266673217,3.14E-06,down
NUDT3,3.266583986,6.68E-18,up
LIPE,-3.266523664,4.52E-32,down
TM9SF3,3.264725315,5.67E-32,up
HTATIP2,3.262483951,1.55E-18,up
MIR4723,3.262362238,3.28E-15,up
MIR3658,3.261982545,4.17E-17,up
CLDN5,-3.260841559,2.41E-32,down
ME2,3.259435385,9.36E-15,up
MEOX1,-3.258746706,3.89E-14,down
SYNPO2,-3.258697119,2.62E-12,down
HLA-DQB1,3.257513685,8.45E-10,up
TPM4,3.255993028,6.85E-23,up
HOXA10-HOXA9,-3.255328566,3.54E-08,down
LOC100506538,3.255114168,3.42E-20,up
C3orf38,3.253240273,5.08E-29,up
MAP3K7,3.249438524,1.57E-20,up
LAPTM5,3.24896558,3.79E-19,up
MORF4L2,3.246871622,2.93E-15,up
PON2,3.242216378,5.14E-21,up
IFI6,3.23855207,1.53E-09,up
VPS8,3.237516262,3.80E-18,up
GXYLT2,3.237065895,6.29E-08,up
LRRC41,3.237055531,2.90E-27,up
CKAP5,3.236454832,3.08E-31,up
EPT1,3.236327021,3.97E-17,up
,-3.233924874,2.34E-27,down
XPNPEP1,3.23355293,1.17E-27,up
