gene_symbol,log2fc,p_value,direction
ABLIM3,-3.231220531,3.35E-10,down
CACHD1,-3.23014686,1.08E-10,down
NAT1,3.229743266,0.00065018,up
CFLAR,3.229633427,3.02E-14,up
ITGB1,3.229374196,1.98E-19,up
VTA1,3.228865364,8.77E-27,up
LRRC59,3.228692406,7.60E-18,up
SCN3A,-3.225752245,6.47E-36,down
AIDA,3.225713587,3.28E-26,up
SLC17A5,3.224273119,1.25E-17,up
AKT1S1,3.222108629,6.89E-31,up
MAGOH,3.219259881,3.32E-16,up
CKAP2,3.214641399,9.76E-17,up
KMO,3.21375778,9.10E-05,up
OAS3,3.213193727,4.63E-12,up
CD164,3.211695042,2.94E-16,up
MAPKAPK2,3.208491448,5.64E-23,up
E2F5,3.207608713,3.61E-12,up
IRF6,3.206173923,4.99E-09,up
RIOK3,3.205449755,1.14E-25,up
CCL4,3.204367769,1.89E-09,up
RAB27A,3.202237287,2.38E-14,up
SAR1B,3.201158545,1.83E-24,up
SPTSSA,3.199337811,1.06E-15,up
MOB1A,3.199249028,2.54E-27,up
DEGS1,3.197307336,7.26E-16,up
FAM120A,3.194263441,1.55E-35,up
NEMF,3.189809161,9.68E-25,up
TAB2,3.189178084,9.35E-20,up
GLUL,3.188121294,3.17E-17,up
RFWD2,3.187508566,8.60E-27,up
PLOD2,3.185776483,9.38E-11,up
GFM1,3.185589476,3.09E-28,up
VAMP7,3.18470679,3.18E-23,up
CCZ1,3.181973126,8.34E-27,up
DESI2,3.181612811,1.69E-19,up
SERINC3,3.179358692,2.16E-22,up
RAD51AP1,3.178947266,6.62E-10,up
TUG1,3.17799442,1.73E-23,up
HNRNPC,3.177809629,7.83E-33,up
BCL2A1,3.176040636,2.26E-05,up
SELT,3.175572937,1.47E-27,up
,-3.173958643,3.87E-06,down
LOC101928625,3.17259186,2.12E-17,up
ABRACL,3.172523238,2.98E-17,up
ITGA9,-3.172325042,1.35E-07,down
OXR1,3.170691049,8.43E-14,up
FCER1G,3.170361315,8.19E-14,up
OSTC,3.166678888,9.26E-29,up
AP2B1,3.166422664,2.98E-15,up
DVL3,3.166128007,4.60E-27,up
STK38,3.163839154,8.71E-23,up
RANGAP1,3.162994014,1.87E-23,up
SFT2D1,3.162949993,1.28E-22,up
HOXA3,-3.162100084,3.78E-11,down
YIF1B,3.160806294,7.53E-28,up
SLC25A32,3.156452014,5.24E-21,up
,3.152786231,1.56E-10,up
DLG1,3.151995832,2.67E-15,up
CD74,3.15182893,1.72E-12,up
GABBR1,3.151513685,0.001400191,up
XDH,-3.151053217,5.87E-06,down
THBS1,3.149954315,2.86E-10,up
HNRNPF,3.14654458,1.04E-29,up
SRSF3,3.145852112,1.65E-21,up
COG5,3.144189063,2.16E-28,up
SLC25A39,3.144063308,6.92E-25,up
FGF1,-3.143379315,5.66E-13,down
PSMB4,3.141943881,4.46E-23,up
PPAPDC1A,3.139766154,2.96E-06,up
UBE2G1,3.138276105,3.33E-29,up
LIMS2,-3.137091357,2.28E-31,down
LIFR,-3.135968678,7.72E-14,down
KLB,-3.134384832,1.79E-22,down
SPATS2,3.133294888,2.13E-28,up
EPSTI1,3.132967937,8.84E-08,up
RASL10A,-3.132700329,3.41E-18,down
DHTKD1,3.130306161,1.30E-15,up
FBXO6,3.126373895,2.11E-12,up
FAXDC2,-3.124875748,6.35E-11,down
PHF19,3.124843035,3.88E-08,up
ANPEP,-3.123457196,8.24E-07,down
HIST1H2BC,3.122131503,7.54E-12,up
GNAI3,3.121850979,4.88E-33,up
CCL2,3.120058664,8.89E-10,up
CANX,3.117190517,9.19E-24,up
DCTN5,3.116543573,7.86E-22,up
CNTNAP3,-3.115963699,1.15E-11,down
CAV1,-3.115364804,2.36E-15,down
DONSON,3.115093608,2.82E-16,up
ENPP2,-3.113474238,2.41E-08,down
UBE2J1,3.112759406,1.55E-21,up
PARVA,-3.109982119,2.87E-15,down
SMC2,3.109901832,3.17E-11,up
LDB2,-3.109279958,1.65E-13,down
CASP8AP2,3.10788414,2.89E-20,up
RAC1,3.107753874,9.34E-25,up
RAP1GDS1,3.107614322,4.47E-18,up
ENC1,3.10632221,7.41E-14,up
MMP3,3.105401126,9.45E-05,up
TPP1,3.104647266,1.13E-16,up
SEMA6D,-3.103720958,2.54E-09,down
WDR1,3.102565371,1.77E-18,up
XIST,3.10177935,2.23E-07,up
ADIRF,-3.09901893,6.62E-05,down
ROPN1B,-3.09543151,0.000359734,down
DCTN4,3.093269007,2.39E-17,up
UBE2B,3.092204203,4.77E-22,up
GALNT10,3.091660301,1.97E-08,up
ACTA2,-3.090979035,1.75E-09,down
GYG1,3.090682301,1.95E-22,up
APPL1,3.089309853,1.06E-18,up
LRIF1,3.085433273,5.12E-26,up
SPTBN1,-3.084998469,4.33E-26,down
LOC642236,-3.08466749,9.62E-27,down
IGHD,3.084486825,8.56E-05,up
LYN,3.084299944,2.52E-13,up
VEGFA,3.083360168,1.36E-10,up
ZNF148,3.083039077,7.59E-25,up
,3.081031538,1.74E-12,up
REL,3.08086942,9.13E-23,up
,3.078291469,1.53E-23,up
RASA1,3.078059105,2.38E-16,up
RBM47,3.077030958,2.36E-17,up
MBNL1,3.075096944,7.21E-13,up
MAPK13,3.074746734,1.39E-18,up
SDC1,3.074118014,6.13E-17,up
SRP72,3.074107,2.65E-27,up
CAPN7,3.073195252,7.43E-16,up
SLC2A10,3.072971133,6.57E-07,up
CLIC4,3.072477559,4.18E-09,up
,-3.070507888,2.42E-25,down
AK5,-3.068915315,5.30E-20,down
ITGB2,3.068788713,1.54E-12,up
LRR1,3.066643042,1.28E-13,up
MAP4K5,3.066243727,1.03E-24,up
PLEC,3.064854769,1.10E-14,up
POLE3,3.06185235,6.10E-25,up
GRB7,3.060554406,0.000284786,up
NUDCD1,3.057429406,4.10E-18,up
LGALS8,3.057313503,7.74E-08,up
PPFIA1,3.05660721,1.98E-19,up
,-3.055961706,6.60E-50,down
NFYB,3.05492714,5.23E-31,up
DQ592442,-3.054170105,1.65E-18,down
VWF,-3.053364636,1.11E-21,down
PRKCD,3.052733483,3.21E-17,up
ABI1,3.051035252,1.31E-27,up
LGR6,-3.050976797,4.86E-13,down
RUFY3,3.049810112,2.54E-21,up
ROBO4,-3.049800028,1.54E-26,down
CALD1,3.048386266,3.93E-13,up
EHD2,-3.046643643,4.15E-14,down
TIMM17A,3.046075266,1.12E-29,up
JUP,-3.043066336,0.000226872,down
NRAS,3.040800336,4.61E-11,up
NPIPA5,3.040527706,2.71E-19,up
SYPL1,3.03767293,5.25E-20,up
BAIAP2L1,3.037240175,2.65E-11,up
MIAT,3.033618951,2.73E-07,up
SGPL1,3.030996573,7.60E-30,up
SLC25A27,-3.028191755,3.58E-17,down
MACF1,3.028039406,3.87E-22,up
FGF7,-3.026502287,4.47E-27,down
RSAD2,3.02596951,2.34E-06,up
APH1A,3.025754315,1.36E-23,up
ASF1A,3.024899783,1.15E-14,up
SSR1,3.024686538,2.48E-25,up
ZFP36L2,3.023709413,9.55E-15,up
NDRG3,3.01862993,2.49E-22,up
NCAPD2,3.017679308,1.36E-09,up
APCDD1,-3.016709545,2.95E-10,down
GFPT1,3.015478301,4.50E-19,up
RABIF,3.014162203,4.17E-24,up
S100A9,3.013944783,0.004589404,up
NDE1,3.011244664,8.92E-13,up
BCLAF1,3.010215175,2.04E-16,up
SLC35B1,3.009799399,1.44E-14,up
HSP90B1,3.009620273,7.02E-24,up
LOC101928189,3.009138301,1.64E-21,up
MAPKAP1,3.008638706,2.90E-21,up
RAB10,3.00821651,4.67E-32,up
HOTAIRM1,-3.008036273,3.33E-17,down
FGFR1OP,3.007897846,8.73E-19,up
MRPS12,3.006607308,7.08E-21,up
NIPBL,3.004440986,5.81E-27,up
SEC23IP,3.003831951,1.24E-23,up
PGD,3.00244686,2.42E-15,up
SEC23B,3.002342909,2.56E-25,up
MLXIPL,-3.000624993,1.24E-30,down
KIAA0907,3.000095252,3.71E-17,up
CPSF2,3.000045476,2.79E-27,up
ARPC5,2.999533469,6.98E-26,up
HPCAL1,2.998834895,3.85E-19,up
ANP32A,2.997213902,2.38E-19,up
RMI1,2.995224678,4.80E-22,up
DNAH3,-2.994090902,4.73E-55,down
,-2.993502238,8.89E-28,down
RHEB,2.991270147,5.12E-23,up
SCOC,2.991049594,1.07E-15,up
,-2.98905721,1.54E-09,down
CENPW,2.989021091,4.36E-06,up
DCAF7,2.988412615,7.21E-17,up
YTHDF3,2.987303713,1.26E-08,up
TNFAIP3,2.98720442,1.57E-10,up
PROSC,2.984419203,2.69E-14,up
USP21,2.984414042,2.97E-24,up
IGSF10,-2.984324762,1.86E-16,down
,2.983972881,1.60E-14,up
NES,-2.983139427,9.95E-08,down
ANKRD29,-2.980899951,1.43E-23,down
TIMP3,2.980470266,2.40E-06,up
NIPSNAP1,2.980077832,5.19E-21,up
AK021804,-2.980067014,5.64E-09,down
,-2.978434483,6.11E-34,down
GINS1,2.977810839,3.58E-09,up
ASNA1,2.975971308,7.90E-23,up
WTAP,2.975287608,9.42E-16,up
TAF15,2.974631133,2.47E-13,up
CRTAP,2.974185839,1.28E-11,up
NQO1,2.974048685,1.85E-06,up
CDCA5,2.972704021,2.89E-09,up
PRKCI,2.971295042,2.37E-27,up
TFAP2A,2.97048465,8.63E-14,up
MYZAP,-2.970450552,7.35E-14,down
PERP,2.969917392,1.65E-11,up
STOX2,-2.968302259,5.23E-08,down
NUCKS1,2.967907406,1.82E-25,up
TMEM132C,-2.966068622,8.56E-36,down
TRIM29,-2.965506944,0.000694308,down
EIF4E,2.96500914,7.59E-24,up
PLA2R1,-2.964999783,1.65E-13,down
HRSP12,2.964174469,9.32E-13,up
SET,2.963270825,3.89E-27,up
KDM5B,2.963088427,1.48E-26,up
ECSCR,-2.96284035,2.20E-20,down
LGALS12,-2.962639741,1.60E-16,down
BOC,-2.962499098,5.49E-10,down
CENPE,2.960124434,3.46E-06,up
,2.959758993,1.42E-06,up
F11R,2.95972521,5.18E-21,up
RERGL,-2.959155587,4.06E-14,down
HLA-DRA,2.959123427,4.84E-13,up
TRAPPC11,2.958763895,1.57E-20,up
ROPN1,-2.957996503,0.000374873,down
RACGAP1,2.957669322,7.71E-14,up
HMG20B,2.957174545,5.00E-21,up
DDX42,2.957166014,4.26E-13,up
AQP1,-2.955938881,4.58E-11,down
CACUL1,2.954011944,1.38E-22,up
,-2.953848455,2.91E-26,down
PPP2R1B,-2.952832993,6.31E-26,down
ZNF281,2.952123343,5.24E-26,up
TNMD,-2.951817902,1.71E-14,down
,-2.951213021,4.45E-10,down
FBXO21,2.950441238,1.15E-28,up
OPHN1,-2.948398469,1.27E-44,down
TMX1,2.947960531,5.25E-10,up
CPED1,-2.947138371,1.25E-11,down
,-2.945654678,8.51E-14,down
CDCA3,2.944364846,7.01E-07,up
BZW1,2.941272713,9.56E-28,up
SIK1,2.941058364,7.29E-10,up
CYB5R4,2.94091621,2.35E-19,up
PIK3CA,2.939264483,1.01E-17,up
MBD4,2.938016741,6.25E-27,up
ABCF2,2.934571867,6.62E-25,up
PPARG,-2.932249713,1.40E-14,down
CA12,2.932066217,0.003426926,up
RP1-193H18.2,-2.931923147,3.55E-22,down
ABCA1,2.931636622,2.30E-13,up
,-2.931091469,4.93E-17,down
MIA,-2.930881566,2.72E-05,down
ARL4C,2.927161958,1.81E-09,up
PNKD,2.927159692,1.43E-09,up
ATOH8,-2.927101825,2.63E-37,down
SAMSN1,2.926420259,1.65E-10,up
SUV39H2,2.926214427,1.61E-09,up
ABHD17C,2.925624042,5.28E-11,up
PAICS,2.923703483,4.04E-16,up
TP53RK,2.91998251,9.97E-19,up
DYRK2,2.919899517,2.33E-18,up
PRPF31,2.916666573,1.38E-27,up
EMCN,-2.915531371,2.28E-10,down
CHMP4B,2.915508596,2.85E-09,up
HPRT1,2.914854028,6.13E-18,up
TCTN2,-2.913957126,1.88E-47,down
AREL1,2.913905392,1.11E-27,up
SLMO2,2.91371258,7.23E-25,up
THY1,2.912191552,1.17E-12,up
MIR636,2.911256378,3.93E-33,up
,-2.910852448,2.69E-40,down
ACTG2,-2.909030371,0.001338997,down
KYNU,2.907496014,0.000109939,up
AURKB,2.907475427,1.48E-07,up
,-2.905004622,8.08E-12,down
TIAM1,2.900737552,1.02E-10,up
NCALD,-2.898864902,1.03E-08,down
CERS6,2.896418643,2.03E-11,up
ADRA2A,-2.89602735,3.48E-05,down
FAM20B,2.894511308,8.59E-25,up
CXorf40A,2.892798364,1.15E-17,up
CAPN3,-2.891636972,1.77E-18,down
TSR1,2.888537769,1.45E-21,up
,-2.887264657,1.16E-37,down
ZCCHC24,-2.887153427,8.87E-09,down
NDN,-2.887103448,7.81E-11,down
WBP11,2.887085203,2.43E-20,up
HIST1H2BK,2.886320252,6.86E-13,up
PNO1,2.885764657,2.15E-23,up
COA1,2.884639091,1.54E-21,up
TAOK1,2.883128056,8.84E-13,up
NCBP1,2.882607895,9.93E-21,up
KNTC1,2.882076119,3.21E-17,up
CIRH1A,2.880090077,7.65E-13,up
TBL1XR1,2.879757476,4.55E-18,up
COPZ1,2.878554986,5.43E-26,up
ZNF627,2.878190636,4.01E-23,up
ORMDL2,2.877126462,1.33E-18,up
,2.87620186,5.19E-10,up
PTPRC,2.875324559,9.04E-08,up
FRYL,2.875156098,1.17E-17,up
ALG13,2.873594615,7.24E-15,up
RC3H2,2.873137818,6.98E-26,up
RARRES1,2.872982699,0.002387589,up
TMEM70,2.872243042,1.54E-23,up
KPNA3,2.872143021,4.13E-15,up
TNFSF13B,2.871629944,5.98E-10,up
WARS,2.869906797,1.96E-11,up
LOC100506639,2.86835965,6.52E-20,up
,-2.868236469,2.70E-54,down
TM4SF18,-2.867943182,5.73E-10,down
CD58,2.865844126,1.38E-18,up
SLIT3,-2.86480086,1.55E-30,down
TRIM27,2.864550413,3.42E-29,up
B3GALNT1,2.864479049,9.21E-14,up
COL8A1,2.863556238,1.38E-05,up
FAM208B,2.863311972,5.27E-18,up
LTF,-2.863039653,0.015444481,down
APLP2,2.862092818,2.27E-14,up
LINC00341,-2.861819329,1.32E-12,down
TIA1,2.861237,7.57E-22,up
ZNF528,-2.861101469,1.87E-27,down
HOXA7,-2.860845559,3.38E-18,down
CCL3,2.860002559,8.15E-11,up
SMARCA4,2.858860909,1.39E-21,up
DIO2,2.856685797,0.000144815,up
CCNL1,2.85444093,8.33E-14,up
,-2.852355245,4.28E-11,down
PDE7A,2.852102958,2.61E-08,up
COLCA1,-2.851439161,2.43E-43,down
PCMT1,2.84988865,7.18E-26,up
DPP3,2.847897706,2.34E-18,up
TACC3,2.847068916,4.21E-11,up
KANK3,-2.84582821,1.01E-58,down
RBFOX2,2.845449692,2.63E-14,up
DDX58,2.845328643,3.90E-09,up
WLS,-2.844686657,4.13E-06,down
PLEKHB2,2.843131874,2.02E-28,up
FOXM1,2.842129524,5.44E-05,up
ZBED4,2.841790056,4.34E-13,up
SCYL2,2.84002786,1.27E-26,up
RNF115,2.838461245,9.94E-24,up
BAZ1A,2.836995699,1.48E-28,up
,2.836811126,3.21E-13,up
,-2.836163042,2.98E-27,down
MRPL44,2.835766021,2.08E-22,up
ANKRD20A5P,-2.835704294,8.88E-24,down
POLR2K,2.833502713,3.72E-23,up
RPS15A,-2.832461434,4.31E-16,down
RPL13,-2.831551776,1.52E-12,down
RPS11,-2.830425056,1.23E-34,down
UEVLD,2.829575469,1.10E-09,up
CCL21,-2.829496021,2.02E-11,down
RAD54B,2.828727594,1.06E-10,up
DPH3,2.828176622,2.64E-16,up
BUB3,2.82780721,1.29E-23,up
AMD1,2.825261434,8.04E-11,up
OAZ2,2.824724727,1.28E-25,up
PSMD10,2.824684552,8.47E-22,up
SLC25A43,2.824232308,1.90E-16,up
OGFOD1,2.823792175,4.48E-21,up
LCP1,2.823420406,2.21E-10,up
NUFIP2,2.822543706,1.91E-15,up
MOCS1,-2.822337734,2.79E-47,down
DCLRE1C,2.820890091,8.69E-16,up
DLC1,-2.820583601,5.83E-15,down
PPAP2C,2.819283364,6.53E-13,up
RASIP1,-2.818749497,2.82E-16,down
LRP2,-2.818281727,0.000927703,down
PSMD12,2.817796231,1.03E-16,up
USP34,2.815835042,4.23E-18,up
ZFR,2.815466413,2.74E-20,up
CXCL2,-2.814697273,4.04E-07,down
TMCO3,2.812748559,5.62E-17,up
NSG1,-2.812340392,3.80E-23,down
,-2.812232063,2.21E-35,down
CGGBP1,2.810599755,4.61E-20,up
SCRN2,-2.80924207,8.10E-16,down
UCHL5,2.807086769,1.48E-16,up
KPNA4,2.806343021,6.34E-11,up
H2AFZ,2.805923776,1.02E-22,up
MTHFD2,2.804339657,1.01E-20,up
PREPL,2.802962126,4.98E-19,up
SYNCRIP,2.801695049,4.67E-16,up
FBXO28,2.80138428,1.27E-18,up
NOTCH2,2.800132133,2.34E-16,up
PTHLH,-2.799906091,1.17E-05,down
ARL1,2.799648336,1.03E-26,up
HSPA12B,-2.798853965,7.43E-13,down
MPDU1,2.798538315,2.53E-24,up
PHLDA2,2.797024545,1.68E-08,up
PLEKHH2,-2.796714839,8.86E-08,down
,2.796360469,1.05E-09,up
,2.796083357,7.55E-19,up
TPD52L1,2.794377713,1.52E-06,up
GINS2,2.793535755,1.62E-08,up
PDE7B,-2.792899909,1.26E-14,down
HJURP,2.792107909,1.80E-06,up
NAPA,2.790925497,2.05E-23,up
SH3BGRL,2.790807434,7.09E-10,up
SPATC1L,2.790788678,1.29E-08,up
,2.789330329,3.90E-12,up
DCX,-2.787721636,5.21E-13,down
PDGFA,-2.786531476,4.87E-14,down
PMAIP1,2.785953559,1.37E-06,up
,-2.785531965,2.06E-38,down
KCTD15,2.78518451,1.93E-09,up
,-2.779917552,4.07E-18,down
C21orf33,2.778628811,4.79E-20,up
ANGPTL1,-2.777169671,2.28E-26,down
CCDC3,-2.77420521,5.82E-14,down
CYR61,2.77389121,2.95E-08,up
LIG3,2.772632643,5.35E-08,up
PCNA,2.771827657,1.11E-20,up
FGFR3,2.771709853,6.84E-05,up
,-2.771492713,1.96E-07,down
MFN1,2.771389,7.44E-16,up
CCDC8,-2.771081573,3.12E-17,down
ALDH1A2,-2.770827797,5.59E-23,down
,2.770133797,8.88E-11,up
H2AFV,2.769649196,1.44E-26,up
LEPREL1,-2.768892965,1.23E-12,down
VPS35,2.768007944,5.07E-11,up
ST3GAL1,2.767772315,3.51E-09,up
LOC645166,-2.767470427,2.73E-10,down
KCTD14,-2.767268231,3.56E-06,down
THUMPD3-AS1,2.766846315,2.15E-08,up
ADAMDEC1,2.76663535,0.000869003,up
BMPR1B,2.766547329,0.014649032,up
YKT6,2.766032413,1.58E-18,up
,-2.765980566,2.18E-14,down
G3BP2,2.764208797,2.48E-20,up
MRPL13,2.763606497,3.13E-20,up
SLC26A3,-2.761278545,1.18E-06,down
MCUR1,2.760450993,2.94E-16,up
C12orf4,2.760363951,1.48E-11,up
PRPF40A,2.760146014,1.78E-24,up
ELAVL1,2.759519469,1.75E-20,up
TMEM37,-2.758124238,2.33E-13,down
ABCA9,-2.758117944,7.01E-38,down
ODF2,2.757753063,1.66E-16,up
NFIB,-2.756200427,5.64E-10,down
NLN,2.755975308,9.68E-17,up
C15orf48,2.755920105,1.67E-06,up
PRDM1,2.755107916,2.41E-10,up
CTGF,2.753692049,3.87E-08,up
CD9,2.753664056,1.26E-21,up
,2.75233314,6.65E-22,up
LMBR1,2.751658503,7.45E-14,up
LDLR,2.750445161,1.20E-09,up
ANXA1,-2.749745776,5.27E-08,down
TFRC,2.749519182,1.51E-13,up
MGLL,-2.746824608,1.59E-07,down
RDX,2.746073238,1.89E-09,up
FOXP2,-2.745999678,1.16E-11,down
ADAMTS9,-2.745593119,2.57E-10,down
FOLR1,-2.743735773,0.000333648,down
FGFR1OP2,2.743470231,5.93E-19,up
TLK2,2.740774783,1.95E-22,up
PROM1,-2.73941458,0.016309184,down
SAMD9L,2.739196007,3.39E-08,up
CREM,2.738421168,1.29E-19,up
TMEM9,2.732273014,7.21E-25,up
CAPN6,-2.73202335,6.35E-06,down
BSG,2.730891217,4.79E-18,up
TGFB1,2.730856867,2.05E-17,up
GTSE1,2.729626119,3.82E-06,up
KGFLP2,-2.729443,1.20E-50,down
POLR2J,2.729070126,8.18E-24,up
ADCY4,-2.728229252,7.54E-20,down
SS18,2.727548462,2.76E-28,up
RGMA,-2.726940266,4.95E-07,down
CITED1,-2.726727077,4.23E-11,down
SLC11A2,2.725805105,6.86E-20,up
TLCD1,2.724218944,2.84E-06,up
IFNGR1,2.721170832,1.30E-15,up
TMC6,2.720903678,7.70E-10,up
KBTBD2,2.719977056,1.47E-14,up
CYYR1,-2.71968614,5.18E-13,down
TMEM189,2.719601573,6.62E-25,up
CD86,2.719600643,2.18E-08,up
SLC33A1,2.718699203,2.13E-15,up
BCL2L11,2.715715832,6.38E-18,up
LPGAT1,2.715692182,1.06E-12,up
,-2.715518608,7.45E-23,down
FLVCR1,2.715494867,6.81E-19,up
C14orf142,2.71484528,1.63E-20,up
STX3,2.714628441,8.12E-21,up
HSPB6,-2.712081685,1.27E-22,down
DOPEY2,2.711102301,2.41E-11,up
PPA2,2.711035287,2.14E-21,up
LLPH,2.710185021,1.80E-20,up
ANKH,2.709956881,1.09E-13,up
ARHGAP32,2.708850797,2.45E-07,up
MYOF,2.708842308,4.24E-11,up
HOPX,2.708642357,6.48E-08,up
,2.708543329,4.47E-05,up
CIRBP,-2.708378545,1.27E-15,down
CRISPLD1,-2.70805965,0.000815363,down
EGF,-2.707977888,2.59E-07,down
COPA,2.707314545,1.00E-06,up
BRCC3,2.706985839,5.31E-09,up
TIMM23,2.706983622,2.96E-26,up
PRRC1,2.706538161,3.12E-23,up
STAT5A,-2.705605259,3.22E-16,down
,-2.704748706,1.88E-34,down
MYLK,-2.703559364,7.20E-10,down
RNFT1,2.70206165,1.60E-06,up
CDC6,2.70199658,0.000151624,up
PTP4A3,2.701503762,6.47E-10,up
ATP2A2,2.701005783,7.35E-28,up
ZMYND11,2.700233196,7.81E-17,up
ZNF124,2.69886965,3.44E-12,up
DDX39A,2.698630266,3.68E-19,up
NUP98,2.698593378,1.04E-27,up
CTSC,2.697961469,3.68E-06,up
CITED2,2.697243343,1.48E-10,up
PTK2,2.696551364,6.58E-22,up
GSTM3,-2.69597807,6.15E-10,down
P2RX4,2.695014559,5.40E-16,up
IFI30,2.693790329,4.74E-15,up
DNTTIP1,2.693229336,1.26E-24,up
,-2.692537972,1.11E-21,down
MIEN1,2.690537797,4.76E-05,up
SPTLC1,2.689897741,5.47E-16,up
RAB4A,2.689561413,5.60E-16,up
RAB14,2.689548301,6.35E-25,up
RHOJ,-2.688228601,2.94E-09,down
AMT,-2.687961119,5.11E-18,down
KDELR2,2.687762455,2.14E-22,up
STEAP4,-2.685752825,0.00201947,down
DCUN1D1,2.683766371,7.27E-24,up
EDN3,-2.683064867,8.43E-13,down
PPP1CB,2.682830531,1.57E-15,up
TPGS2,2.682474392,1.15E-18,up
CDYL,2.681986469,1.64E-23,up
CEBPG,2.680738042,7.31E-10,up
FH,2.680216811,8.36E-14,up
NBPF10,2.679152594,1.37E-20,up
PTBP3,2.679030853,2.63E-14,up
COMMD10,2.678848867,1.07E-13,up
LOC441259,2.678734035,4.46E-18,up
MAST4,-2.677169035,2.68E-09,down
HIP1,2.677053427,9.51E-13,up
HMGB3,2.677043874,1.04E-07,up
COL14A1,-2.67692586,0.000306841,down
,-2.676160469,8.30E-22,down
SVEP1,-2.675956692,3.24E-14,down
MSH2,2.67399642,2.87E-14,up
NCEH1,2.673836161,1.13E-09,up
UBA6,2.673447042,1.88E-08,up
CLCC1,2.672539566,4.82E-21,up
RPA1,2.67250907,2.02E-17,up
FOPNL,2.671868818,5.99E-11,up
STRBP,2.66978572,3.36E-21,up
NUDT21,2.665769818,2.68E-15,up
WDFY1,2.665051378,1.64E-18,up
,-2.663345035,4.98E-22,down
MAP7,2.662481762,3.48E-10,up
SPG20,-2.662348084,3.75E-19,down
BAG2,2.662216916,1.94E-05,up
UBFD1,2.661772196,2.76E-16,up
,2.66151349,8.73E-11,up
MDM4,2.660775545,2.12E-09,up
NRBF2,2.660761804,1.33E-18,up
CYP51A1,2.659075455,6.79E-15,up
ECM2,-2.658295007,5.45E-07,down
AP3B1,2.657700552,3.23E-27,up
SMC6,2.65495765,6.93E-23,up
ADAM12,2.654954601,3.46E-07,up
FABP7,-2.65430107,0.010494303,down
UGCG,2.652825266,1.80E-12,up
RBM15,2.652436175,1.21E-22,up
RECK,-2.650382804,3.38E-51,down
CNOT8,2.648054636,1.09E-18,up
MIA3,2.647991469,2.54E-19,up
GRAMD3,-2.646967524,1.65E-13,down
HYLS1,2.646674699,1.49E-12,up
RAB7A,2.64645814,3.90E-27,up
DCTD,2.644421846,3.19E-16,up
SERPINH1,2.643303643,1.14E-16,up
AIF1L,-2.642720105,0.000273594,down
FBXO45,2.642471385,1.90E-13,up
,2.639634021,2.29E-21,up
NEK2,2.638893685,5.67E-06,up
TFAP2B,-2.638558657,0.047368351,down
RANBP2,2.638122902,1.84E-18,up
LACTB2,2.636849874,6.02E-13,up
PKIB,2.636383084,3.77E-05,up
UBR5,2.635308559,2.53E-19,up
HLA-DPA1,2.634668937,1.47E-06,up
,2.634253783,7.99E-17,up
BLVRA,2.633076189,8.68E-10,up
PEX2,2.62864907,7.39E-20,up
BLOC1S1-RDH5,-2.628179594,2.98E-27,down
abParts,2.627632902,0.000782214,up
SLC20A1,2.627007448,1.38E-22,up
TMEM167A,2.626309524,6.44E-29,up
CHAC2,2.62587207,2.60E-07,up
SIK2,-2.625763245,1.80E-22,down
ADRBK2,-2.623729538,1.27E-12,down
CNIH4,2.623444685,5.92E-21,up
C1orf115,-2.622375336,1.99E-06,down
TM9SF4,2.621556441,6.56E-23,up
HMGCR,2.620910909,2.27E-19,up
RFC3,2.620699343,1.11E-07,up
SDR16C5,2.619698399,0.003868662,up
PSRC1,2.619599259,2.97E-07,up
KIFC2,2.619290559,1.56E-07,up
GAS7,-2.618596168,8.83E-08,down
ST8SIA6-AS1,2.618106077,0.003374047,up
NCAPG,2.61732235,5.80E-07,up
EGFLAM,-2.616747014,5.89E-12,down
KRIT1,2.615996629,3.99E-20,up
DBF4,2.614732217,8.72E-12,up
MRPS30,2.614506895,1.36E-09,up
,-2.614389699,3.95E-06,down
GLIDR,-2.613826979,2.88E-11,down
HOTAIR,2.613484245,0.000234923,up
MUC1,2.612781392,0.000777391,up
ARPC5L,2.612605217,3.85E-25,up
HSPA4,2.612055308,6.71E-10,up
ROBO3,-2.611915203,2.66E-40,down
PALMD,-2.611891434,5.51E-08,down
IGLJ3,2.609990769,0.000731273,up
CDK12,2.609113993,5.96E-08,up
SAP30,2.608167888,2.16E-12,up
PTPRS,-2.608059825,2.09E-18,down
BRI3BP,2.608051699,7.23E-21,up
TLE1,2.607950839,2.21E-05,up
SEMA5A,-2.606522476,8.76E-07,down
CRK,2.60606728,2.81E-20,up
,-2.605598622,3.49E-11,down
ZNF814,2.603741049,1.41E-09,up
CLDN7,2.602429629,3.98E-11,up
RFC5,2.602350979,1.33E-08,up
TBCC,2.602180615,1.34E-26,up
GDPD5,-2.602076937,2.10E-14,down
C6orf62,2.601743357,8.72E-19,up
CENPK,2.601381147,1.70E-10,up
CDC42,2.601335315,7.67E-26,up
GGH,2.600712615,2.74E-06,up
IFT80,2.598482469,9.74E-09,up
CDH1,2.598350106,3.08E-06,up
GTF2H1,2.597797406,2.57E-19,up
ZCCHC2,2.595010524,3.71E-09,up
PPP4R2,2.594918077,5.14E-27,up
RNASEH2A,2.592845098,2.29E-11,up
MREG,2.592425678,1.56E-12,up
SLC30A5,2.591799748,8.65E-24,up
SURF4,2.591593888,2.80E-19,up
